Taxon,Genus,Tribe,Subfamily,Family,NCBITaxon,Order,Diet,Nesting,Foraging,DietMod,NestingMod,ForagingMod,DietModslashboth,DietModslashlower,DietModslashupper,DietModalllower,DietModallupper,DietModanyplant,DietModonlyplant,ForagingModalllower,ForagingModallupper,ForagingModanycanopy,NestingModalllower,NestingModallupper,NestingModanycanopy,DietModonlypred,DietModanypred,DietModonlyomni,DietModanyomni,ForagingModanyground,NestingModanyground
Azteca_pittieri,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_pittieri,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Azteca_quadraticeps,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_quadraticeps,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Azteca_schimperi,Azteca,Azteca,Dolichoderinae,Formicidae,Azteca_schimperi,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Ravavy_miafina,Ravavy,Bothriomyrmecini,Dolichoderinae,Formicidae,Ravavy_miafina,Hymenoptera,NA,NA,NA,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Bothriomyrmex_meridionalis,Bothriomyrmex,Bothriomyrmex,Dolichoderinae,Formicidae,Bothriomyrmex_hispanicus,Hymenoptera,1,0,0&1,1,0,0&1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Bothriomyrmex_paradoxus,Bothriomyrmex,Bothriomyrmex,Dolichoderinae,Formicidae,Bothriomyrmex_paradoxus,Hymenoptera,1,0,0&1,1,0,0&1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Bothriomyrmex_saundersi,Bothriomyrmex,Bothriomyrmex,Dolichoderinae,Formicidae,Bothriomyrmex_saundersi,Hymenoptera,1,0,0&1,1,0,0&1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Chronoxenus_wroughtonii,Chronoxenus,Chronoxenus,Dolichoderinae,Formicidae,Chronoxenus_javanus,Hymenoptera,1,0,0&1,1,0,0&1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Doleromyrma_darwiniana,Doleromyrma,Doleromyrma,Dolichoderinae,Formicidae,Doleromyrma_darwiniana,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Dolichoderus_debilis,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_debilis,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
